country,year,total_consumption,happiness_score,aqi_pm25_concentration,aqi_pm25_category,indexed_total_consumption,indexed_happiness_score,indexed_aqi_pm25_concentration
Australia,2015,3303.155,7.284,22.703763440860214,GOOD,3.718518917783678,97.27564102564101,12.947259075128567
Bangladesh,2015,773.196,4.694,166.87004927674457,UNHEALTHY,0.8704235656984515,62.68696581196581,95.16086465106437
Brazil,2015,8441.885,6.983,16.50862068965517,GOOD,9.503432044289251,93.25587606837605,9.414359412207423
Canada,2015,9200.963000000002,7.427,37.27914862914862,GOOD,10.357962304925948,99.18536324786324,21.259153649088752
China,2015,74079.257,5.14,135.61292419326776,UNHEALTHY FOR SENSITIVE,83.39454811229233,68.64316239316238,77.33588609833943
Egypt,2015,1994.28,4.194,0.0,GOOD,2.245055986581808,56.00961538461539,0.0
France,2015,5923.9800000000005,6.575,26.220165260196904,GOOD,6.6689064541543335,87.80715811965811,14.95255504668845
Germany,2015,8124.254999999999,6.75,31.26742581090407,GOOD,9.145860824090493,90.14423076923076,17.830852741249252
India,2015,16425.467,4.565,54.85132810999731,MODERATE,18.490930571811347,60.964209401709404,31.280027978837587
Indonesia,2015,3805.0610000000006,5.399,92.7077566539924,MODERATE,4.283538408527871,72.10202991452991,52.868386635539046
Iran,2015,5507.797,4.686,89.62057034220533,MODERATE,6.200389427626674,62.580128205128204,51.107859087055054
Italy,2015,3947.303,5.948,,,4.443667003130118,79.43376068376068,
Mexico,2015,4543.061,7.187,61.24970145049993,MODERATE,5.114340160587448,95.98023504273505,34.928823805779324
Netherlands,2015,2095.108,7.378,40.43201058201058,GOOD,2.358562868772409,98.5309829059829,23.05713399882908
Philippines,2015,947.758,5.073,84.97084917617236,MODERATE,1.0669363237513296,67.74839743589743,48.45626589544379
Poland,2015,2279.01,5.791,,,2.565590109703656,77.33707264957265,
Saudi Arabia,2015,6113.127,6.411,0.0,GOOD,6.881838241412887,85.61698717948717,0.0
South Korea,2015,6668.875,5.984,74.59051901140684,MODERATE,7.507470236133219,79.91452991452991,42.53668237447054
Spain,2015,3425.409000000001,6.329,32.305747126436785,GOOD,3.8561460687271634,84.5219017094017,18.422975501444867
Thailand,2015,2814.239,6.455,60.00817490494297,MODERATE,3.1681228887728916,86.20459401709401,34.220819343177936
Turkey,2015,3404.784,5.332,30.24240362811791,GOOD,3.832927523827124,71.20726495726495,17.246314068052815
United Arab Emirates,2015,2454.767,6.901,0.0,GOOD,2.7634481361761964,92.16079059829059,0.0
United Kingdom,2015,4812.640999999999,6.867,33.342246642246636,GOOD,5.417819207091811,91.70673076923076,19.014059345204604
United States,2015,53417.831,7.119,40.20013717421125,GOOD,60.13499672902767,95.07211538461537,22.92490371501596
Vietnam,2015,1804.65,5.36,64.5098403041825,MODERATE,2.0315804632172316,71.58119658119658,36.78798087766616
Australia,2016,3328.46,7.313,23.468199233716476,GOOD,3.747005961599217,97.66292735042734,13.383193332556523
Bangladesh,2016,776.258,4.643,160.3532284215546,UNHEALTHY,0.8738706049461568,62.00587606837607,91.44452184392894
Brazil,2016,8339.423999999999,6.952,14.857142857142854,GOOD,9.388086816216383,92.84188034188034,8.472572319945568
Canada,2016,9149.729,7.404,30.066959064327484,GOOD,10.300285750772801,98.87820512820512,17.146263421091376
China,2016,74691.73900000002,5.245,126.21199873908289,UNHEALTHY FOR SENSITIVE,84.08404827313916,70.04540598290599,71.97482700704145
France,2016,5827.787,6.478,24.79798457763758,GOOD,6.560617412235812,86.51175213675214,14.141529077504856
Germany,2016,8246.277999999998,6.994,30.471732522796355,GOOD,9.283227927331096,93.40277777777777,17.377093294173147
India,2016,17147.697000000004,4.404,164.65865290182887,UNHEALTHY,19.303979283721905,58.814102564102555,93.89977320873966
Indonesia,2016,3900.444,5.314,118.61291457286433,UNHEALTHY FOR SENSITIVE,4.390915594864861,70.96688034188034,67.64130266910415
Iran,2016,5811.380999999999,4.813,93.32562174341643,MODERATE,6.542148396593143,64.2761752136752,53.22073612187369
Italy,2016,3957.812,5.977,44.885305555555554,GOOD,4.45549748498973,79.82104700854701,25.596711364962438
Mexico,2016,4640.432,6.778,56.36534951740275,MODERATE,5.223955333215894,90.51816239316238,32.14342789304257
Netherlands,2016,2133.1020000000003,7.339,35.7369918699187,GOOD,2.4013345242842674,98.01014957264957,20.379709007753377
Philippines,2016,1032.387,5.279,84.03929024081114,MODERATE,1.1622072200589852,70.4994658119658,47.925026442069026
Poland,2016,2370.901,5.835,52.57715445483507,MODERATE,2.6690361853113886,77.92467948717949,29.983136581430475
Russia,2016,16669.551000000003,5.856,60.129277566539926,MODERATE,18.76570755670256,78.20512820512819,34.28988047211665
Saudi Arabia,2016,6359.564999999999,6.379,0.0,GOOD,7.1592652362286815,85.18963675213675,0.0
South Korea,2016,6872.698000000001,5.835,77.1690741444867,MODERATE,7.736923495631919,77.92467948717949,44.0071531814119
Spain,2016,3465.6510000000003,6.361,27.342650103519667,GOOD,3.901448404914672,84.94925213675214,15.592673682185223
Thailand,2016,2877.7650000000003,6.474,0.0,GOOD,3.2396371328126436,86.45833333333333,0.0
Turkey,2016,3581.581,5.389,23.917524235645036,GOOD,4.0319563278364425,71.9684829059829,13.639429582729559
United Kingdom,2016,4735.743,6.725,32.92960992907801,GOOD,5.331251465723416,89.81036324786324,18.778745299442097
United States,2016,53585.28699999999,7.104,36.14458161865569,GOOD,60.32350992441098,94.87179487179486,20.612144924688938
Vietnam,2016,1969.668,5.061,123.50470686767169,UNHEALTHY FOR SENSITIVE,2.2173490858749108,67.58814102564102,70.43094159163641
Australia,2017,3311.311,7.28399992,24.26666666666667,GOOD,3.7277005154663314,97.27563995726496,13.838534789244433
Bangladesh,2017,809.2189999999999,4.607999802,148.00580122836405,UNHEALTHY FOR SENSITIVE,0.91097637262859,61.538458894230764,84.40316329568867
Canada,2017,9279.081000000002,7.315999985,35.094158730158725,GOOD,10.445903458404796,97.70299125267094,20.013121009061855
China,2017,77803.42300000001,5.272999763,123.43286311235322,UNHEALTHY FOR SENSITIVE,87.58701916616863,70.4193344417735,70.38997130424501
France,2017,5789.213000000001,6.441999912,23.49532908704883,GOOD,6.517192823097676,86.03098173076923,13.398664654774938
Germany,2017,8408.665,6.951000214,31.133605998636675,GOOD,9.466034707970257,92.82852849893162,17.754539411817145
India,2017,17845.327,4.315000057,175.35575143061516,UNHEALTHY,20.08933460389714,57.625534949252135,100.0
Indonesia,2017,4043.070000000001,5.262000084,51.40522813688213,MODERATE,4.551476476557612,70.27243701923076,29.314822991261952
Italy,2017,3987.975,5.964000225,47.754366044876996,GOOD,4.489453410799179,79.6474389022436,27.23284845537129
Mexico,2017,4724.264999999999,6.578000069,57.693752559227846,MODERATE,5.318330134408862,87.84722314369657,32.90097535355499
Netherlands,2017,2157.113,7.376999855,37.78805555555555,GOOD,2.4283648506646225,98.51762626869657,21.54936764107652
Poland,2017,2491.236,5.97300005,51.58910998450923,MODERATE,2.804503026549992,79.76762887286324,29.419685162092918
Russia,2017,16768.222999999998,5.962999821,0.0,GOOD,18.876787326999604,79.63407880608975,0.0
Saudi Arabia,2017,6363.453,6.343999863,0.0,GOOD,7.163642143020022,84.7222203926282,0.0
South Korea,2017,6961.119,5.837999821,79.16506337135615,MODERATE,7.836463226958286,77.96474119925215,45.145404542194456
Spain,2017,3460.537,6.402999878,30.752018633540374,GOOD,3.895691331527093,85.51014794337607,17.536931855758574
Thailand,2017,2943.719,6.423999786,0.0,GOOD,3.313884692101718,85.79059543269231,0.0
Turkey,2017,3808.651,5.5,29.0993288590604,GOOD,4.287579842525017,73.45085470085469,16.594453630210378
United Arab Emirates,2017,2428.907,6.647999763,36.428888888888885,GOOD,2.734336302425166,88.78204811698717,20.774276630044316
United Kingdom,2017,4789.06,6.714000225,30.30610561056106,GOOD,5.3912729521930105,89.66346454326923,17.282641352401033
United States,2017,53992.588,6.993000031,38.2124828532236,GOOD,60.78202806047551,93.3894234909188,21.79140549509922
Vietnam,2017,2157.5910000000003,5.073999882,114.43683417085427,UNHEALTHY FOR SENSITIVE,2.4289029580324883,67.76175056089743,65.25981226006988
Australia,2018,3384.538,7.272,26.866666666666667,GOOD,3.810135637279429,97.11538461538461,15.321234945234904
Bangladesh,2018,863.5500000000001,4.5,162.52060801144492,UNHEALTHY,0.9721393671965425,60.09615384615385,92.68051186547545
Brazil,2018,8531.001,6.419,19.516096866096866,GOOD,9.603754170219524,85.72382478632477,11.129430718341169
Canada,2018,9357.992,7.328,38.90925925925926,GOOD,10.534737329755435,97.86324786324786,22.188755681991353
China,2018,81759.82699999999,5.246,112.45727351177138,UNHEALTHY FOR SENSITIVE,92.04093159849317,70.0587606837607,64.13092960698727
France,2018,5910.240999999998,6.489,22.96543209876543,GOOD,6.653439807444918,86.65865384615384,13.09648067508775
Germany,2018,8225.648000000001,6.965,32.774521651560924,GOOD,9.260003753692903,93.01549145299145,18.690303217416375
India,2018,18899.099999999995,4.19,87.33359315589354,MODERATE,21.27561706280374,55.95619658119658,49.80366622902
Indonesia,2018,4470.798,5.093,68.82118821292775,MODERATE,5.032990259491132,68.01549145299145,39.24661019182992
Italy,2018,4035.885,6.0,43.065162037037034,GOOD,4.543387979825161,80.12820512820512,24.558739411565337
Japan,2018,11114.519000000002,5.915,55.41757667934094,MODERATE,12.512143439701173,78.99305555555554,31.60294214887419
Mexico,2018,4679.664999999999,6.488,58.47629977986792,MODERATE,5.268121790043201,86.64529914529915,33.34723800205997
Netherlands,2018,2112.45,7.441,42.89430199430199,GOOD,2.3780855841981774,99.37232905982906,24.46130317617465
Pakistan,2018,2032.7490000000005,5.472,106.73718592964823,UNHEALTHY FOR SENSITIVE,2.288362372218638,73.07692307692308,60.86893931841297
Poland,2018,2515.525,6.123,51.76660436261757,MODERATE,2.8318463107719096,81.77083333333334,29.520904755211642
Saudi Arabia,2018,6202.919999999999,6.371,0.0,GOOD,6.982922498489695,85.08279914529915,0.0
South Korea,2018,7094.07,5.875,77.57355213127877,MODERATE,7.986132500316108,78.45886752136751,44.2378145560701
Spain,2018,3561.7940000000003,6.31,28.929903978052124,GOOD,4.009681159451615,84.26816239316238,16.497835823479747
Turkey,2018,3836.689,5.483,48.62259259259259,GOOD,4.319143554617492,73.22382478632477,27.7279713929609
United Arab Emirates,2018,2297.856,6.774,72.4478403041825,MODERATE,2.5868059495672266,90.46474358974359,41.314778507763236
United Kingdom,2018,4819.081999999999,7.19,30.35411324786325,GOOD,5.425070147586414,96.02029914529915,17.310018633676684
United States,2018,55937.215,6.886,38.951303155006855,GOOD,62.9711872999096,91.96047008547008,22.21273202460036
Vietnam,2018,2389.261,5.103,96.23184410646388,MODERATE,2.6897049118260417,68.14903846153845,54.87806548765578
Australia,2019,3508.786,7.228,37.25065359477124,GOOD,3.9500075290001586,96.52777777777777,21.24290380604402
Bangladesh,2019,968.106,4.456,172.7177253218884,UNHEALTHY,1.0898430365574383,59.508547008547005,98.49561472195533
Brazil,2019,8719.614,6.3,17.94328165374677,GOOD,9.816084808242847,84.13461538461537,10.232502502688984
Canada,2019,9297.106,7.278,30.70268518518518,GOOD,10.466195059462889,97.1955128205128,17.50879850515404
China,2019,85786.09400000001,5.191,108.32670073898906,UNHEALTHY FOR SENSITIVE,96.57349213759842,69.32425213675214,61.77539080139714
France,2019,5790.960999999999,6.592,23.03454746136865,GOOD,6.5191606299575655,88.03418803418802,13.135895043900497
Germany,2019,8085.417,6.985,28.925060199518402,GOOD,9.102139037577635,93.28258547008546,16.495073565330696
India,2019,19464.342,4.015,51.6954882685709,MODERATE,21.9119369055377,53.619123931623925,29.48034943069763
Indonesia,2019,4789.659,5.192,83.78683776932826,MODERATE,5.391947275024288,69.33760683760684,47.781060550204465
Italy,2019,3964.173,6.223,41.980510230510234,GOOD,4.462658365673811,83.1063034188034,23.94019579512971
Japan,2019,10894.366,5.886,52.87628390367554,MODERATE,12.2643067213798,78.60576923076923,30.153720920067826
Malaysia,2019,2565.617,5.339,73.1089211026616,MODERATE,2.888237261129861,71.30074786324786,41.69177258585064
Netherlands,2019,2116.0880000000006,7.488,37.71339031339031,GOOD,2.382181054081637,100.0,21.506788346382105
Pakistan,2019,2072.4039999999995,5.653,162.4664556509299,UNHEALTHY,2.3330038945464455,75.49412393162392,92.64963043725128
Poland,2019,2457.353,6.182,46.332482993197274,GOOD,2.7663593195513,82.55876068376068,26.42199221593831
Saudi Arabia,2019,5934.199,6.375,0.0,GOOD,6.680410469200804,85.13621794871794,0.0
South Korea,2019,7027.932000000001,5.895,78.67949533356376,MODERATE,7.911677803462835,78.72596153846153,44.86850000166417
Spain,2019,3449.867,6.354,28.006618655692726,GOOD,3.8836796042988064,84.85576923076923,15.971314557523595
Thailand,2019,3065.39,6.008,77.29790874524716,MODERATE,3.4508555321760284,80.23504273504273,44.08062359781363
Turkey,2019,4049.828,5.373,53.158212048616456,MODERATE,4.559084279051403,71.7548076923077,30.314495883330135
United Arab Emirates,2019,2428.497,6.825,68.05721673003802,MODERATE,2.733874745896244,91.14583333333333,38.81094071611727
United Kingdom,2019,4753.684,7.054,29.98031746031746,GOOD,5.351448503980462,94.20405982905983,17.09685437502179
United States,2019,55632.207,6.892,36.07309670781893,GOOD,62.62782526631586,92.04059829059828,20.57137927528562
Vietnam,2019,2595.278,5.175,110.49467336683418,UNHEALTHY FOR SENSITIVE,2.921628061628288,69.11057692307692,63.01171901427753
Canada,2020,8818.62,7.23210001,31.673254401942927,GOOD,9.927540578248827,96.58253218482905,18.062284324033374
China,2020,88829.85600000001,5.123899937,96.70571165804176,MODERATE,100.0,68.42815086805555,55.14829760021092
France,2020,5241.576999999999,6.663799763,23.14778516057586,GOOD,5.900692893164206,88.99305239049144,13.200471026315316
Germany,2020,7615.246000000001,7.075799942,26.79268725594604,GOOD,8.572845147919637,94.49519153311965,15.279046759152
India,2020,18516.565,3.573299885,67.14536958174905,MODERATE,20.844979192581373,47.72035102831197,38.290942289575916
Indonesia,2020,4548.592,5.285600185,63.43320659062104,MODERATE,5.120566670737369,70.58760930822649,36.17400973341917
Italy,2020,3634.891,6.38740015,43.5157428791378,GOOD,4.091969934072616,85.30181824252136,24.815691828822693
Netherlands,2020,2080.507,7.448900223,31.794586894586896,GOOD,2.342125827604628,99.47783417467949,18.131476518560266
Pakistan,2020,2070.5160000000005,5.69329977,94.21315589353611,MODERATE,2.330878483018142,76.03231530448717,53.72686959219265
Poland,2020,2369.1739999999995,6.186299801,44.10552858683927,GOOD,2.667092019151758,82.61618323985041,25.152028506057277
Saudi Arabia,2020,5772.263,6.406499863,0.0,GOOD,6.49811140074346,85.55688919604701,0.0
Spain,2020,3170.836,6.400899887,27.709867075664622,GOOD,3.569561116928974,85.48210319177349,15.802086244447406
Turkey,2020,3983.285,5.131800175,55.48355175327419,MODERATE,4.484173654407364,68.5336561832265,31.640565707494318
United Arab Emirates,2020,2391.6320000000005,6.790800095,0.0,GOOD,2.692374059460369,90.68910383279913,0.0
United Kingdom,2020,4335.418,7.164500237,25.759049255441006,GOOD,4.880586545136355,95.67975743856837,14.689594749695653
United States,2020,51835.538,6.939599991,37.469787379972566,GOOD,58.35373413191167,92.67628193108973,21.367869074313557
Vietnam,2020,2632.083,5.353499889,77.54570342205324,MODERATE,2.963061203206273,71.49438954326924,44.221933292411315
France,2021,5540.744999999999,6.69,26.98728269085412,GOOD,6.237480560589897,89.34294871794873,15.390018559803245
Germany,2021,7765.004,7.155,32.8395393811533,GOOD,8.741434861720364,95.55288461538461,18.727380831958207
Indonesia,2021,4667.086,5.345,68.82506970849175,MODERATE,5.25396101058635,71.38087606837607,39.24882368955232
Italy,2021,3865.828,6.483,40.961620681083765,GOOD,4.351946714852267,86.57852564102562,23.359154374409826
Pakistan,2021,2279.16,4.934,0.0,GOOD,2.5657589718483833,65.89209401709401,0.0
Saudi Arabia,2021,5961.646,6.494,19.48717948717949,GOOD,6.711308864443052,86.72542735042734,11.112940025175156
Spain,2021,3415.659,6.491,29.580747414080747,GOOD,3.8451700293198714,86.68536324786324,16.868991848143214
Thailand,2021,2873.876,5.985,72.554127128451,MODERATE,3.2352591002736735,79.92788461538461,41.37539061965655
United Arab Emirates,2021,2449.7810000000004,6.561,95.73346007604562,MODERATE,2.7578351584854532,87.6201923076923,54.59385238010027
United States,2021,54639.668,6.951,38.54975994513032,GOOD,61.51047683787756,92.82852564102562,21.983744263092337
Italy,2022,3720.476,6.467,0.0,GOOD,4.188317045116001,86.36485042735042,0.0
Saudi Arabia,2022,0.0,6.523,61.863410353904655,MODERATE,0.0,87.11271367521367,35.278803146860454
