Country,Nitrogen Oxide,Sulphur Dioxide,Carbon Monoxide,Organic Carbon,NMVOCs,Black Carbon,Ammonia,Total Air Pollutants
Australia,1123610.02,1025119.2,1881913.0,26129.04,825529.9,25720.53,568130.62,5478170.3100000005
Bangladesh,774575.51,253432.52,3333776.45,133207.53,959885.81,48626.44,1052130.47,6557652.73
Brazil,3170791.67,1528988.07,13354974.23,450480.3,3929434.4,154735.39,3130177.21,25721599.27
Canada,1751270.99,859977.76,5693367.18,69208.18,1912338.97,21030.0,484068.37,10793279.45
China,22929054.23,12468032.13,150442538.6,1928183.36,29677052.02,1216547.81,12229442.64,230892868.79000002
Egypt,728205.66,633672.72,1936896.5,90719.0,811019.01,62760.43,498101.26,4763392.579999999
France,851180.88,137845.21,2467385.31,64767.56,706287.15,22416.87,712088.67,4963989.65
Germany,994416.05,300929.71,2642850.01,83143.63,1044081.0,29838.97,694551.8,5791829.169999999
India,9583120.72,9933342.31,54149720.78,2615852.9,11104385.18,901762.4,10134906.13,98425108.42000002
Indonesia,4818997.15,2365641.51,23928060.11,756045.36,7840369.16,267903.44,1983161.27,41962196.0
Iran,2136157.44,2233408.49,9310341.13,34057.42,3147448.25,83322.81,566204.94,17512958.48
Italy,634517.99,114107.22,2199180.45,54750.13,886941.72,16077.73,432179.92,4339773.16
Japan,1733174.45,642312.26,3691659.49,62103.07,1034975.71,44262.62,435175.14,7645680.74
Malaysia,896736.72,374812.51,3947786.33,42164.1,1585211.51,34144.69,280711.95,7163585.8100000005
Mexico,1903270.31,2221381.26,7823684.38,149428.86,2261845.69,65266.71,880496.83,15307392.04
Netherlands,209148.31,26002.94,549366.71,9542.91,221952.06,3656.43,159935.52,1181622.88
Nigeria,671743.45,102710.44,24890322.23,666213.57,5470300.23,200783.76,1338948.98,33343040.660000004
Pakistan,1518417.07,1733027.13,13458796.03,510365.66,2912167.27,164186.81,1972814.62,22271792.59
Philippines,648987.69,516119.4,3276187.33,88122.56,1243429.76,42629.18,506967.93,6324461.849999999
Poland,731228.16,528785.53,2490406.31,82552.24,677233.52,29697.95,336150.62,4878072.33
Russia,3712930.37,5037840.04,7523934.78,283123.04,4034993.97,158995.06,1178905.01,21932740.27
Saudi Arabia,2098352.3,3677528.18,1524383.52,24882.95,1719404.31,69912.6,124056.33,9240538.19
South Korea,1047420.16,289730.73,914160.92,61299.66,981094.62,27576.37,310395.67,3633696.1300000004
Spain,684640.41,222599.35,1270171.89,25971.24,529611.76,12369.11,509668.95,3257050.7100000004
Thailand,1209904.79,471340.98,9967326.12,243826.61,3203289.13,101589.83,737101.64,15936397.1
Turkey,908705.23,2661329.38,1588450.76,62165.04,623087.18,47857.25,731255.78,6624868.62
United Arab Emirates,544077.85,673936.93,937790.23,7091.48,995769.59,19138.45,22610.97,3202433.5
United Kingdom,779172.88,150909.98,1499200.45,31937.02,790408.83,14499.57,359503.98,3627650.71
United States,8004348.01,2280939.46,29260964.57,297709.86,10698303.81,136314.53,3602809.01,54283407.25
Vietnam,1052623.14,695156.64,10914872.55,219213.88,2262785.93,83608.08,661310.6,15891588.82
