Country,GDP,GDP per Capita
Australia,1300000000000.0,50152.20422409641
Bangladesh,807000000000.0,4765.103429315624
Brazil,3100000000000.0,14463.932327758455
Canada,1700000000000.0,44555.09016744642
China,26200000000000.0,18374.443762105813
Egypt,1400000000000.0,12813.216327434933
France,2600000000000.0,40290.43327836065
Germany,3840000000000.0,46038.44017928136
India,9800000000000.0,6962.383712846334
Indonesia,3320000000000.0,12127.712823241538
Iran,1530000000000.0,17401.504527257308
Italy,2060000000000.0,34773.60425504676
Japan,4730000000000.0,37957.660244241255
Malaysia,807000000000.0,24036.548420748135
Mexico,1970000000000.0,15547.909596971665
Netherlands,842000000000.0,48109.623204516865
Nigeria,1100000000000.0,5154.607097852737
Pakistan,1280000000000.0,5531.496618319542
Philippines,943000000000.0,8280.621862583897
Poland,1170000000000.0,30542.14340690144
Russia,3810000000000.0,26257.25527245686
Saudi Arabia,1680000000000.0,46731.05687069483
South Korea,2080000000000.0,40131.09284528985
Spain,1540000000000.0,32429.974629651795
Thailand,1100000000000.0,15362.891611280183
Turkey,2260000000000.0,26658.674411805838
United Arab Emirates,726000000000.0,77521.45748028142
United Kingdom,2510000000000.0,37306.20097430123
United States,19100000000000.0,56676.956115822206
Vietnam,772000000000.0,7920.546332200189
